AIT101,AIT201,AIT301,AIT401,AIT501,AIT601,DPIT101,DPIT201,DPIT301,DPIT401,DPIT501,DPIT601,FIT101,FIT201,FIT301,FIT401,FIT501,FIT601,LIT101,LIT201,LIT301,LIT401,LIT501,LIT601,MV101,MV102,MV201,MV202,MV301,MV302,MV401,MV402,MV501,MV502,MV601,MV602,P101,P102,P201,P202,P301,P302,P401,P402,P501,P502,P601,P602,PIT101,PIT201,PIT301,Normal/Attack
49.296196,29.473677,41.71463,43.477795,51.792294,46.518265,71.91512,30.577898,23.351406,20.02279,51.99945,33.92326,37.021854,26.453983,64.70823,43.43433,27.280233,53.12807,62.321957,31.788113,52.109978,18.335297,76.255165,63.131092,16.031225,51.291424,67.61207,53.95171,11.60814,35.210712,28.475782,63.694336,21.991789,66.83411,21.778675,32.734634,34.78447,56.14431,84.55405,22.563272,83.1819,58.235397,56.75948,82.7044,71.09243,33.271366,37.996128,65.41918,22.837732,76.712395,65.76546,Normal
38.465206,30.07741,44.90883,55.669537,59.61162,49.450726,71.82782,30.897709,34.878235,21.259558,56.719784,31.169184,38.746452,20.348509,55.723606,40.419277,24.298922,55.16609,64.74361,23.824993,50.4899,24.47242,73.713905,66.64761,27.138184,49.699276,60.909775,63.879658,25.368698,21.713615,27.940678,66.85714,21.79348,64.663414,27.585737,38.22486,43.644802,44.56872,81.602844,33.273045,75.81508,65.04539,51.547897,80.62239,74.2025,38.67574,41.530968,64.61077,29.618885,70.140366,64.947525,Normal
47.977837,29.037569,37.217045,42.73615,53.000168,40.293156,69.51694,24.190077,33.53078,19.388924,60.496716,28.056978,46.372433,27.700773,55.231422,47.698112,15.837995,50.463123,60.158012,29.813578,50.70516,22.55398,76.152275,64.87459,28.681993,50.06949,66.761345,54.50065,15.202571,17.918627,25.635061,58.68489,18.21847,72.16009,18.165121,30.742594,47.344883,48.962494,80.93491,30.020105,79.37463,58.299103,69.54119,81.82673,87.85388,39.276756,45.192333,67.16063,27.416416,74.17521,63.44086,Normal
40.999073,36.087482,34.066833,39.595615,57.29085,51.061943,64.80759,27.942131,30.514595,22.809639,54.185837,35.276752,40.023018,24.169962,63.694664,49.299362,29.079784,61.831028,61.53351,28.849846,48.225605,27.64542,74.29514,61.08586,19.5803,47.898712,70.6975,57.058674,27.128174,20.770344,27.214151,58.984505,21.647093,63.01855,13.987636,31.848621,39.936806,45.646267,77.01141,26.00874,75.35841,66.409645,57.73676,79.30752,75.19821,33.22043,45.09072,62.193764,7.9019933,67.01377,58.59258,Normal
38.06147,29.096382,35.293934,51.19071,48.712646,52.390583,71.95695,31.309345,25.18369,25.156902,49.85706,27.63895,47.291897,26.866516,61.1739,45.5803,23.58239,59.003788,61.000805,29.028606,50.157394,23.888624,62.518597,68.16549,19.502867,39.59766,68.039154,67.868576,30.232582,29.989765,27.5563,65.37056,20.676922,62.046963,26.938387,35.659428,34.723106,55.2394,75.12195,20.348576,72.75339,58.158108,59.622326,83.56755,63.58792,39.776474,33.198387,69.58716,28.689207,75.10734,63.517216,Normal
37.95617,38.99603,34.565163,45.01661,57.45158,38.711704,78.321014,32.617256,27.455982,21.806438,56.03967,30.216208,45.72855,31.465815,56.512352,44.753143,15.86506,58.656315,59.884933,24.820532,51.248417,31.699242,74.60691,54.22113,14.964593,49.078205,57.10792,54.37242,18.55659,31.452084,34.841278,57.260567,31.876812,62.097797,20.971455,33.525867,43.882446,58.38347,81.58937,27.050142,76.908,58.621017,49.769707,73.34567,76.124176,40.164875,39.790314,70.15729,32.020096,72.66761,64.59447,Normal
49.23567,31.399736,41.807842,50.05798,50.482193,44.64858,81.26083,33.52755,38.383846,19.29095,47.79386,26.942352,38.67999,17.972084,58.74435,54.95972,22.539993,57.558395,67.39697,30.348223,43.711147,18.110704,80.25165,54.297054,19.819439,62.085995,60.965508,62.692493,12.348707,18.999792,34.70065,52.605816,23.756613,64.862915,30.785671,34.02048,39.884617,52.817627,75.20233,32.031223,89.548164,55.67622,55.33293,81.40982,79.700874,34.670673,45.93633,73.98062,27.568224,70.43168,57.01192,Normal
32.811535,30.0828,42.623238,49.789627,54.314083,57.23638,73.09021,29.724323,28.00007,23.8817,53.06421,33.580902,43.433956,21.130386,61.563103,50.145775,22.310522,54.591473,67.3182,29.692045,44.48602,20.73229,76.23742,60.86409,22.717577,38.3785,54.326687,62.71083,15.9734955,21.67593,23.608582,60.22655,22.825954,67.675186,19.17802,26.64005,38.26054,44.79069,81.91077,35.129757,82.07703,58.225777,65.46137,79.83087,79.82785,34.48912,38.494637,69.72358,11.930301,65.94182,70.18939,Normal
48.394615,35.352013,36.326603,54.486782,56.763897,48.558258,75.01298,20.044191,30.996246,13.1217785,52.174892,26.970427,31.967907,34.118862,56.053585,53.0249,27.534176,53.02065,64.35601,23.671442,43.901714,21.11789,72.11298,69.252815,27.971214,41.322075,72.71376,64.641624,31.924889,23.197897,28.576424,59.72268,21.836687,68.50836,23.265026,28.527918,40.188652,50.096695,78.724686,28.903204,79.663666,62.676975,62.273823,73.09837,73.411125,35.577515,38.018684,70.08523,28.195639,67.75553,62.516476,Normal
40.215656,31.78483,40.746952,43.186012,55.66187,54.862633,79.546715,29.224348,25.110468,24.215134,53.73491,36.141373,45.632786,28.25715,49.357124,52.77893,18.324022,53.031986,57.19609,34.507034,50.899673,20.27475,65.879005,64.82511,25.642786,38.71646,61.142063,61.96377,18.466202,22.387718,34.29256,61.138985,28.989317,79.77244,34.867714,25.638287,36.074436,48.007103,77.1599,31.53164,73.73299,57.032425,64.63107,70.40408,72.57041,42.220726,34.356743,67.2872,25.438358,74.511765,60.39948,Normal
38.664463,38.18052,30.621992,49.10245,61.961803,57.58461,74.41935,26.827972,37.15622,18.447615,50.425568,32.247166,34.754364,20.163513,50.398026,49.50495,20.906519,55.71285,67.95485,25.873785,41.910313,19.359764,82.1347,63.44998,28.10104,51.117615,65.184326,62.562355,23.128134,15.061133,30.42852,51.294174,28.92625,60.04346,35.313778,24.319145,28.057636,42.491726,73.30385,33.842583,78.01073,55.906662,53.99479,71.9424,78.29182,36.38372,36.334026,71.735306,22.241362,75.120316,69.5114,Normal
36.676315,41.353897,41.04286,39.25215,53.96178,54.599678,75.00307,28.835218,28.89674,17.599985,52.9147,34.32791,31.519964,28.694017,65.38108,40.97407,27.184097,53.499043,59.844112,29.88637,50.357952,12.717666,82.04258,55.438663,15.37488,51.124695,58.75826,61.170914,15.613165,27.510027,29.696333,70.360725,22.178179,70.44371,26.914034,37.39873,41.926052,58.644493,79.57487,28.809057,78.218704,60.317245,52.102013,74.74889,75.807724,43.569893,38.919704,66.036865,13.616889,77.26562,61.57654,Normal
40.990715,34.151268,29.81396,45.162952,51.568623,52.056553,72.475,30.027765,29.509079,18.440042,52.07906,29.98331,37.849995,22.81876,59.766678,44.870728,24.57671,56.086163,57.728733,30.064528,45.427708,18.483835,62.70311,51.476616,17.742384,49.881092,59.789978,60.892937,18.198505,22.257833,30.48686,74.12224,28.54442,63.808125,30.948282,32.1608,37.55216,55.05182,78.84365,31.194054,86.02989,65.78816,58.584812,71.48266,83.554146,30.881758,38.64738,62.739548,17.242044,77.30118,65.0011,Normal
46.26789,34.587086,33.242958,54.968117,61.798058,49.345104,80.95149,30.341335,34.053593,21.43398,60.550056,26.701315,43.30411,26.55815,64.039474,44.525623,22.35327,59.28658,62.286346,28.838394,52.068317,21.008532,84.735435,59.253292,31.222992,47.70638,63.398045,57.31589,16.572422,18.989904,23.937069,55.644276,29.124489,70.21481,27.83532,28.538145,47.23652,45.193584,73.49084,27.33265,80.66809,56.543446,61.236958,72.1681,74.54719,34.504818,30.659164,68.30141,23.756279,77.44339,65.015495,Normal
35.155304,36.54247,33.797005,54.620453,55.54908,47.197163,73.286865,25.402433,36.344517,23.943336,49.57564,27.762281,36.00911,30.871391,64.53064,46.416073,19.432623,53.388012,65.57612,22.044619,51.516144,18.04619,74.35712,67.35687,16.218544,52.837708,63.325996,65.5204,17.13219,41.623028,26.149334,59.05138,23.542053,60.381973,25.259909,38.333973,31.520203,61.562763,77.71561,34.367435,80.82967,62.254486,54.713802,72.05606,72.259254,35.753574,49.87285,65.74627,31.313366,73.148056,62.08518,Normal
45.633503,30.304678,38.60499,42.229794,50.53081,60.828888,73.97237,24.656723,38.021515,11.900222,53.836563,22.826748,36.941593,23.876102,54.71746,45.369167,16.461521,55.6136,65.06032,32.041306,45.13533,26.721212,78.43439,60.932835,20.994673,44.588737,63.964466,60.280952,14.759722,11.644708,30.21392,65.36989,14.596155,79.94632,25.53747,33.29822,42.032593,45.983547,75.070816,33.706944,76.17148,60.614597,52.834526,67.13338,86.436066,29.078176,29.139532,71.26483,22.945477,70.07538,70.916084,Normal
49.054512,33.669777,43.752083,45.45623,52.295937,45.11162,71.60292,22.254711,35.46065,16.870546,51.310387,36.529274,41.801888,26.799469,53.568512,48.515934,17.659464,59.01895,52.899254,29.560993,49.18333,29.645052,74.49291,66.32461,30.218948,50.594563,66.10454,61.44535,14.256482,27.502,27.664745,74.478775,26.638134,73.808464,29.081472,37.39091,36.292458,59.12476,74.62307,30.122204,73.5011,64.17863,68.41075,75.81923,76.04026,42.190872,32.882935,71.53539,24.695477,77.01205,69.92004,Normal
47.69548,36.03026,31.32248,56.43805,54.15147,51.80567,80.56785,28.191446,28.38136,13.485736,59.27713,36.37631,43.88018,19.470413,69.103745,54.497643,25.321373,60.39232,62.426,25.457508,42.671112,16.333149,73.2437,55.085743,28.064697,55.65376,68.98607,55.126255,28.562124,20.909075,33.891132,66.490715,31.159138,74.449524,21.724575,29.593428,53.976196,39.738255,80.078865,30.839542,75.83276,57.984142,60.40188,69.64157,84.21192,25.161308,40.41591,71.04832,21.666805,69.31119,73.583176,Normal
33.806175,32.60764,38.121872,34.598602,54.830433,46.770973,80.32947,24.136545,25.747473,24.664326,52.070866,30.07451,39.067554,20.906212,52.442295,46.82692,24.667631,61.337284,61.5706,29.135168,43.269066,15.44269,72.19997,60.93665,20.505964,47.72431,61.040287,56.257492,18.297058,19.883423,26.169498,63.92439,27.439375,64.74976,13.300762,26.868454,40.872894,44.576847,82.931,31.641768,84.260956,54.45,47.944077,69.61769,81.31801,32.19473,43.816395,62.065807,28.235676,70.63086,65.88366,Normal
47.7865,35.127815,34.8349,49.6556,46.63314,53.650623,78.19774,33.82264,22.87668,25.507013,51.603924,32.51077,34.17645,28.821276,45.924664,42.28073,27.381983,51.405178,74.68971,29.552217,47.298912,26.759438,64.81259,64.453255,25.487783,55.086617,62.93474,50.258133,20.232414,32.457443,32.927483,60.03954,28.836863,61.38877,22.584423,39.722004,39.870785,43.2388,84.583664,31.284418,80.328156,68.903145,61.92894,74.810005,74.62232,34.109497,46.918205,69.04635,18.486504,71.20393,56.90928,Normal
45.051838,31.30768,40.563244,46.4015,52.763264,39.59277,75.82238,25.254156,33.795063,16.247637,47.86343,33.885044,37.612858,23.17909,46.784206,54.814236,24.08569,58.503468,62.95496,23.61941,51.219032,25.684488,75.67281,66.04813,19.931345,44.99679,63.55034,65.33337,16.48505,29.621758,25.332384,64.77832,25.659838,73.78761,32.96522,30.124979,31.900196,50.12962,77.521835,27.299135,72.60098,63.082817,55.781868,78.32382,69.289986,37.946823,37.05724,72.6395,20.300154,76.14016,69.35278,Normal
44.693512,27.211102,42.969097,41.614395,55.307903,53.604126,80.99173,28.591623,35.212845,19.13094,55.995407,23.062094,42.45918,32.616573,64.877266,49.2118,18.61116,58.426846,57.602116,30.961908,42.04842,18.472265,67.90059,59.442825,27.855684,53.42167,55.64382,62.32846,22.208967,21.489902,25.468884,65.04823,30.701956,72.36436,23.179968,32.019154,44.03842,55.744877,83.91236,25.81306,79.70172,64.8951,60.683598,74.01279,76.5246,30.9328,35.439728,72.241135,19.72861,79.06126,65.35782,Normal
41.839592,33.61678,33.998226,46.599213,59.620457,45.61851,78.22321,22.662764,30.128748,19.379848,51.900017,34.301895,47.9944,27.648796,55.417435,48.401043,35.740532,53.97726,56.96857,24.000961,42.065506,31.023228,80.38963,56.80404,16.578432,39.418373,63.90647,52.380096,14.926157,12.951466,27.042103,61.22636,31.43291,67.42506,18.545181,28.651443,39.284534,49.38834,79.9308,33.34834,75.084724,63.216763,64.75469,76.469025,70.34331,38.869972,40.4789,67.69108,26.589602,76.17645,61.305447,Normal
49.00474,30.064377,36.04057,52.431587,54.57782,47.073326,75.94723,31.199678,26.920088,26.599379,54.663414,26.986803,41.03364,26.89691,49.94241,51.391644,23.832651,48.044086,59.629986,31.55933,49.387775,26.07095,73.525215,57.476025,18.54515,43.815712,65.144646,57.126354,18.232689,21.331501,32.410305,65.83791,27.666805,66.17778,27.02978,33.00755,43.468277,42.233406,79.44666,32.663837,74.069176,64.05433,68.169975,82.95644,75.93973,30.213358,37.266674,66.86791,21.744808,75.99179,64.41539,Normal
51.663513,30.601532,38.902122,45.87361,51.931427,55.466724,66.64503,23.405167,24.931925,26.747766,57.645004,27.733957,45.674572,27.360903,56.594032,51.169994,18.335905,53.92309,65.228485,25.159845,51.035378,23.027672,69.04314,62.50537,22.124073,56.03535,69.39814,52.62857,20.464998,37.065563,25.403713,57.888382,21.27893,54.775265,27.498806,34.80543,46.263412,48.134766,72.86486,28.40756,71.77274,58.395134,52.768326,69.40945,72.9492,35.8688,35.79274,63.99038,20.316856,69.895805,61.237923,Normal
49.587578,35.368706,39.883423,59.114616,66.08656,50.297466,72.47874,22.049547,34.64521,17.039015,49.17674,25.389591,34.764416,20.927418,54.59088,47.595818,19.772207,64.31198,71.64042,28.58586,41.393684,15.633013,69.44345,65.06067,19.279934,43.29729,62.98536,55.40211,15.622742,20.26098,33.999393,63.448967,24.170494,64.92225,31.707926,34.01289,53.550945,57.085285,75.114456,24.792376,76.99409,65.747925,55.481823,74.87515,73.18943,28.358751,38.48282,62.26864,32.952045,75.49941,55.26052,Normal
41.535965,32.571033,38.95519,51.475792,51.095154,49.810406,75.27572,27.90291,35.28206,25.618956,56.001846,35.789825,43.875412,21.522526,51.16172,51.36154,23.911722,55.829006,60.475193,27.958403,46.68937,30.500675,76.55626,63.188564,21.607666,60.485863,69.000916,60.451664,27.424364,15.365902,27.939943,65.611145,24.94977,63.521553,34.47818,26.364927,34.596584,66.20902,76.54797,29.154318,71.3248,62.955666,64.15024,75.46424,85.48516,38.389454,29.295832,63.305527,21.05394,76.45513,66.01997,Normal
42.966103,35.28965,41.52904,58.878845,41.985744,53.805458,74.95494,24.5926,30.380112,14.967501,54.151012,30.98249,38.674942,26.625198,57.95111,43.719536,16.424927,58.99513,58.940083,25.279558,50.797745,31.665335,76.44079,52.647053,31.008379,48.132465,73.010345,51.904446,19.789465,17.54218,33.341347,64.33041,24.103472,69.15298,30.498262,32.080414,30.024189,47.107506,75.52325,22.071623,76.91336,62.360615,49.12003,79.85543,79.64194,30.64254,38.492485,62.658134,28.76147,73.06763,60.237362,Normal
52.966866,35.618633,34.294003,52.38626,55.426205,66.57068,77.04697,22.856514,30.367035,15.31606,51.312614,31.783361,38.582806,27.482626,44.372795,52.160988,32.53225,55.77709,65.45249,36.27283,39.91426,22.028574,70.51861,53.104992,18.834654,47.556557,63.56959,58.9482,28.938406,34.91176,27.42579,54.073864,28.136206,70.33067,22.77164,38.26452,39.653942,50.974518,76.20837,26.268103,65.4744,57.876236,63.583546,72.87954,80.92147,33.107445,40.43284,69.46459,20.328062,72.924995,62.499146,Normal
52.01377,37.40376,40.941105,60.53405,52.47989,64.89485,78.582184,27.309752,34.934956,18.444513,62.97092,27.616089,41.04181,22.623272,56.428772,45.054924,19.563524,59.27985,62.663685,24.169361,47.569542,17.895607,77.410835,56.765175,22.213102,39.436245,70.3533,54.101395,22.03041,19.842037,34.884644,56.26602,26.74256,65.01439,23.23787,26.882479,48.379387,58.448986,73.85962,29.411427,83.23318,58.9494,62.13993,81.91101,79.52844,24.724913,37.91225,62.531956,31.57943,74.5199,63.09544,Normal
34.97274,38.01851,43.925926,45.43504,47.805756,54.11924,72.56292,31.089691,34.361553,15.892415,52.92132,34.319504,33.89425,30.769438,61.10532,44.75524,15.208814,59.419407,64.730934,23.704893,46.011505,19.034367,75.806725,52.450703,27.347885,45.937057,64.42867,59.0666,20.647577,23.311672,29.176023,71.0813,24.393286,68.72257,30.918093,36.44287,51.020527,46.10054,73.17051,34.821198,79.76791,62.6792,55.662872,82.89584,76.45675,36.82605,44.210964,63.50894,20.574183,68.88348,53.813053,Normal
36.990566,38.5861,34.47509,55.512356,55.5013,44.190086,78.05081,32.589016,32.71901,22.357958,61.84638,27.503572,43.539722,24.507908,51.178814,45.246086,21.662344,50.002396,67.18783,28.685057,49.14056,26.490881,74.548195,64.798744,27.29451,45.133522,65.96675,53.927113,24.42003,17.890955,28.456524,56.75297,32.936073,70.3481,19.15123,34.201717,35.77475,54.082127,81.68656,24.105562,77.81296,63.738094,53.42639,81.09913,64.40783,38.34041,32.111816,67.25609,17.1444,69.65602,66.11303,Normal
34.7041,28.605516,42.813602,51.777966,58.03067,47.573917,79.84139,26.680323,28.065994,18.434282,63.432053,27.577929,33.977875,18.728476,52.465485,43.786297,21.508867,49.64255,51.15794,27.736423,45.085075,21.595234,67.587,59.213108,22.380726,47.650806,69.062836,53.46943,23.149624,26.29964,29.814623,63.43048,28.126303,58.880882,24.322048,35.976093,42.62457,57.467762,70.943855,32.6605,77.58563,65.10964,54.561638,77.38866,79.753044,34.687775,36.696148,64.86835,26.096596,73.77569,64.41578,Normal
34.225613,37.625095,42.431522,53.0826,58.631493,40.218704,71.92343,25.890007,28.134783,23.521477,52.872257,25.98264,49.272606,31.029545,51.517925,44.350254,17.550734,58.930447,71.894264,29.093145,46.563408,22.420807,68.44489,57.230114,24.918129,49.521797,65.04293,58.509823,14.194636,32.997887,31.863031,59.976326,31.669643,62.483437,24.847906,33.746193,28.042847,51.507206,73.67244,27.07444,72.900536,56.87736,67.16496,70.82278,74.70873,34.702423,42.84252,68.64563,18.320267,66.04561,71.91857,Normal
28.827429,39.534996,44.942158,44.021397,56.264877,55.794224,79.54598,24.92847,28.056633,13.065559,58.12775,31.964594,42.87252,27.751348,57.179363,41.405903,13.680541,56.428463,76.719124,25.135296,50.29309,30.197916,71.33986,67.61806,20.183405,54.148663,60.697975,57.43726,16.419926,29.61884,33.601025,59.02204,30.507835,62.93559,27.442705,33.507378,38.54761,46.880356,85.3688,31.109602,84.33399,59.885155,66.33477,73.06966,80.76039,41.447487,47.248257,63.209827,26.185871,71.56661,58.316044,Normal
51.3422,36.9783,36.49544,47.407085,57.55274,53.543724,75.062744,22.641665,28.30905,27.431757,56.05407,29.492619,35.90333,33.57607,53.92594,50.820023,23.840088,55.614685,58.389687,33.91481,50.257694,21.521538,59.58109,61.94381,17.01376,61.201366,65.02985,58.045837,24.542805,28.942661,32.87318,57.15982,28.166088,63.734512,31.302782,31.147358,41.46697,58.87815,81.5837,23.967705,67.784775,65.445854,54.305225,76.71705,85.47424,38.33325,33.05065,66.81717,22.39208,71.603004,66.3847,Normal
49.47179,28.109766,31.820044,46.33884,56.67779,58.577934,81.93309,22.8611,37.36676,25.925598,60.05689,21.316158,42.304966,29.118416,59.81011,50.973427,27.0801,59.965664,61.413883,23.452744,51.239117,24.363148,82.684135,62.681637,31.25624,56.38974,69.24249,57.489326,26.649893,25.515682,26.998354,57.131695,29.254343,71.47398,22.112179,32.67001,37.722763,55.72301,72.44429,33.0742,80.72421,66.06819,50.62913,77.52055,74.88418,36.440746,40.50247,62.088223,25.326664,73.48264,69.63742,Normal
38.561356,38.125668,32.898773,54.386997,50.47911,55.687332,77.56605,25.347729,29.906271,23.083506,61.8673,32.34208,38.382435,29.700644,60.96908,46.178364,20.366552,55.935062,65.630455,26.082407,47.9406,22.650808,73.965416,59.56049,22.82552,53.94121,61.8701,51.319283,22.188839,29.132965,31.296474,62.604862,28.019188,65.90825,34.595898,33.032608,42.11187,42.450737,79.21371,31.802778,73.54349,65.01979,59.333706,83.52392,78.83504,32.84978,40.05783,67.266426,27.480162,69.50443,60.4864,Normal
43.651657,28.310059,38.912395,54.10816,53.541405,55.795902,78.57954,26.62912,34.01165,15.42123,60.168995,28.956055,46.956852,28.351294,55.45256,52.870384,18.493925,56.377525,59.06326,31.272095,46.22131,30.907867,71.607506,59.496624,21.185299,39.549885,58.25457,56.445026,19.58161,18.786861,31.863194,65.5353,26.275179,61.17914,21.944082,24.450212,39.6854,59.65236,73.27378,28.785994,80.23739,65.29713,59.047234,72.59153,72.65177,24.613817,35.559334,71.22282,22.005184,76.20604,55.900177,Normal
48.780613,32.04158,40.14093,51.051952,64.928345,56.18026,82.099014,30.695417,35.92271,19.399134,50.211124,26.061434,43.570663,32.717693,52.574627,50.410053,21.48739,55.075203,56.879738,23.00082,47.174313,26.663391,78.12143,62.679012,20.947098,57.61239,66.20608,59.041542,19.935474,21.204504,24.16297,57.14878,28.388597,59.34408,22.262169,26.877941,53.410942,34.99293,75.69143,31.786219,82.835594,67.274895,54.726143,74.48461,70.68463,29.415634,36.491287,69.04144,23.421707,71.59684,69.09946,Normal
45.95822,35.254734,33.096573,43.90545,54.430565,49.085526,76.6123,23.328224,27.19847,26.578745,51.392212,30.489681,40.209103,16.241304,55.049564,43.899204,20.517313,58.86504,65.923996,26.10982,47.408546,17.488335,74.56276,62.021656,14.416105,50.194702,58.050884,61.015305,24.62397,18.404255,24.280972,54.192314,22.824942,59.40739,27.253565,28.119999,57.3394,57.72208,78.91878,28.342701,77.15939,60.6892,66.27685,72.43428,78.170105,39.544907,33.39912,71.73374,18.28889,72.31667,60.383648,Normal
32.7112,33.23346,41.399742,41.369576,58.31648,52.227688,69.40721,28.881615,31.646471,15.393726,53.545486,31.274136,38.421288,14.653149,56.39009,43.720913,22.30827,55.743057,60.975132,24.34797,49.188225,31.101957,68.88875,68.67416,26.96272,54.69431,62.47843,62.261105,10.6513195,27.157452,28.324368,61.91306,18.289385,71.25512,22.026104,32.29679,52.632446,49.04224,83.31817,30.997974,75.339905,67.25172,49.05519,81.020645,73.817924,40.65278,33.137993,63.35461,35.022686,68.56699,66.58702,Normal
